,Sample survey response:,,,,
,,,,,
,How was overall satisfaction?,How was the quality of food?,Was your order prepared in a timely manner?,Did the server recommend any specific items?,How would you rate your service?
Customer Name,,,,,
Jennifer,5,3,4,1,2
Matt B,5,3,4,5,3
Nick P,5,3,2,3,4
Maddison,5,4,5,4,5
TJ,5,2,2,2,2
Larry L,4,5,4,3,4
Lenard ,5,3,5,3,5
Carrey,5,4,5,4,5
Nicki,3,1,2,4,5
Regina,5,5,4,5,5
Matthew P,5,3,2,3,5
Alex,5,4,5,5,5
Claire,2,3,2,3,2
Wes,4,5,4,4,3
Andrea,4,3,2,2,2
Maddy,4,3,4,5,5
Rebecca,0,1,1,1,1
Becci,2,3,1,2,1
Becca,2,3,1,5,5
Jennifer,5,4,5,4,5
Matt B,5,4,5,5,5
Nick P,1,1,1,1,1
Maddison,2,5,3,2,4
TJ,5,5,4,5,4
Larry L,5,4,5,4,5
Lenard ,5,3,4,2,3
Carrey,2,4,3,5,5
Nicki,3,4,4,5,5
Regina,4,4,3,5,5
Matthew P,5,4,4,5,4
Alex,4,3,4,5,4
Claire,5,3,5,5,4
Wes,4,3,5,4,4
Andrea,5,3,5,4,3
Maddy,4,5,5,4,3
Rebecca,5,5,1,4,3
Becci,4,5,1,4,3
Becca,5,5,1,5,3
Jennifer,4,5,2,5,4
Matt B,5,4,2,5,4
Nick P,4,5,3,5,4
Maddison,5,4,4,3,3
TJ,3,5,3,3,3
Larry L,4,3,2,3,3
Lenard ,3,4,4,3,4
Carrey,3,3,5,4,4
Nicki,4,4,4,2,4
Regina,5,5,2,5,4
Matthew P,4,4,3,5,5
Alex,3,3,4,5,5
Claire,4,4,3,4,5
Wes,5,5,4,3,5
Andrea,5,4,4,4,5
Maddy,5,3,5,3,5
Rebecca,5,2,4,4,5
Becci,4,3,3,5,5
Becca,4,4,4,4,5
